time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
3.06,19082.0,6500.0,0.0,-300.0,0.0,0.0
3.08,19076.0,6500.0,0.0,-300.0,0.0,0.0
3.1,19070.0,6500.0,0.0,-300.0,0.0,0.0
3.12,19064.0,6500.0,0.0,-300.0,0.0,0.0
3.14,19058.0,6500.0,0.0,-300.0,0.0,0.0
3.16,19052.0,6500.0,0.0,-300.0,0.0,0.0
3.18,19046.0,6500.0,0.0,-300.0,0.0,0.0
3.2,19040.0,6500.0,0.0,-300.0,0.0,0.0
3.22,19034.0,6500.0,0.0,-300.0,0.0,0.0
3.24,19028.0,6500.0,0.0,-300.0,0.0,0.0
3.2600000000000002,19022.0,6500.0,0.0,-300.0,0.0,0.0
3.2800000000000002,19016.0,6500.0,0.0,-300.0,0.0,0.0
3.3000000000000003,19010.0,6500.0,0.0,-300.0,0.0,0.0
3.3200000000000003,19004.0,6500.0,0.0,-300.0,0.0,0.0
3.34,18998.0,6500.0,0.0,-300.0,0.0,0.0
3.36,18992.0,6500.0,0.0,-300.0,0.0,0.0
3.38,18986.0,6500.0,0.0,-300.0,0.0,0.0
3.4,18980.0,6500.0,0.0,-300.0,0.0,0.0
3.42,18974.0,6500.0,0.0,-300.0,0.0,0.0
3.44,18968.0,6500.0,0.0,-300.0,0.0,0.0
3.46,18962.0,6500.0,0.0,-300.0,0.0,0.0
3.48,18956.0,6500.0,0.0,-300.0,0.0,0.0
3.5,18950.0,6500.0,0.0,-300.0,0.0,0.0
3.52,18944.0,6500.0,0.0,-300.0,0.0,0.0
3.54,18938.0,6500.0,0.0,-300.0,0.0,0.0
3.56,18932.0,6500.0,0.0,-300.0,0.0,0.0
3.58,18926.0,6500.0,0.0,-300.0,0.0,0.0
3.6,18920.0,6500.0,0.0,-300.0,0.0,0.0
3.62,18914.0,6500.0,0.0,-300.0,0.0,0.0
3.64,18908.0,6500.0,0.0,-300.0,0.0,0.0
3.66,18902.0,6500.0,0.0,-300.0,0.0,0.0
3.68,18896.0,6500.0,0.0,-300.0,0.0,0.0
3.7,18890.0,6500.0,0.0,-300.0,0.0,0.0
3.72,18884.0,6500.0,0.0,-300.0,0.0,0.0
3.74,18878.0,6500.0,0.0,-300.0,0.0,0.0
3.7600000000000002,18872.0,6500.0,0.0,-300.0,0.0,0.0
3.7800000000000002,18866.0,6500.0,0.0,-300.0,0.0,0.0
3.8000000000000003,18860.0,6500.0,0.0,-300.0,0.0,0.0
3.8200000000000003,18854.0,6500.0,0.0,-300.0,0.0,0.0
3.84,18848.0,6500.0,0.0,-300.0,0.0,0.0
3.86,18842.0,6500.0,0.0,-300.0,0.0,0.0
3.88,18836.0,6500.0,0.0,-300.0,0.0,0.0
3.9,18830.0,6500.0,0.0,-300.0,0.0,0.0
3.92,18824.0,6500.0,0.0,-300.0,0.0,0.0
3.94,18818.0,6500.0,0.0,-300.0,0.0,0.0
3.96,18812.0,6500.0,0.0,-300.0,0.0,0.0
3.98,18806.0,6500.0,0.0,-300.0,0.0,0.0
4.0,18800.0,6500.0,0.0,-300.0,0.0,0.0
4.0200000000000005,18794.00003462128,6500.0,0.017651919072209265,-299.9948068142349,0.0,1.7651868144372496
4.04,18788.00027696879,6500.0,0.07060706515734558,-299.9792274367342,0.0,3.530312515920838
4.0600000000000005,18782.00093476157,6500.0,0.1588636048827843,-299.9532624068753,0.0,5.295315993613145
4.08,18776.002215704284,6500.0,0.2824184826978263,-299.91691262359956,0.0,7.060136140907777
4.1,18770.00432748001,6500.0,0.4412674209794372,-299.8701793453816,0.0,8.824711857545699
4.12,18764.00747774306,6500.0,0.6354049201808939,-299.81306419018523,0.0,10.58898205173037
4.14,18758.01187411181,6500.0,0.8648242590214129,-299.745569135408,0.0,12.35288564224258
4.16,18752.017724161477,6500.0,1.1295174947193665,-299.6676965178123,0.0,14.116361560555703
4.18,18746.025235416957,6500.0,1.429475463267045,-299.5794490334446,0.0,15.879348752949337
4.2,18740.03461534563,6500.0,1.764687779748329,-299.4808297375419,0.0,17.641786182623704
4.22,18734.04607135018,6500.0,2.1351428386974547,-299.3718420444266,0.0,19.403612831812165
4.24,18728.059810761424,6500.0,2.5408278145015935,-299.2524897273875,0.0,21.164767703894377
4.26,18722.07604083111,6500.0,2.981728661844414,-299.12277691854973,0.0,22.92518982550744
4.28,18716.094968724767,6500.0,3.457830116192663,-298.9827081087312,0.0,24.684818248657496
4.3,18710.11680151452,6500.0,3.9691156943242967,-298.8322881472876,0.0,26.443592052829185
4.32,18704.141746171917,6500.0,4.515567694899405,-298.67152224194444,0.0,28.201450347095452
4.34,18698.170009560774,6500.0,5.097167199073022,-298.5004159586163,0.0,29.958332272224986
4.36,18692.20179843001,6500.0,5.713894071150058,-298.3189752212147,0.0,31.71417700278993
4.38,18686.23731940649,6500.0,6.365726959282223,-298.12720631144265,0.0,33.46892374927105
4.4,18680.276778987853,6500.0,7.052643296207976,-297.9251158685773,0.0,35.222511760163
4.42,18674.3203835354,6500.0,7.774619300032892,-297.71271088924,0.0,36.974880324076985
4.44,18668.368339266915,6500.0,8.531629975053614,-297.4899987271542,0.0,38.72596877184329
4.46,18662.420852249543,6500.0,9.323649112623007,-297.2569870928909,0.0,40.47571647861109
4.48,18656.478128392646,6500.0,10.150649292057672,-297.01368405360125,0.0,42.22406286594798
4.5,18650.540373440686,6500.0,11.01260188158732,-296.760098032738,0.0,43.97094740393666
4.5200000000000005,18644.607792966097,6500.0,11.909477039345836,-296.496237809763,0.0,45.7163096132712
4.54,18638.680592362154,6500.0,12.841243714404323,-296.22211251984413,0.0,47.46008906735021
4.5600000000000005,18632.75897683589,6500.0,13.80786964784673,-295.9377316535383,0.0,49.20222539436963
4.58,18626.843151400964,6500.0,14.809321373886101,-295.6431050564634,0.0,50.9426582794121
4.6000000000000005,18620.93332087058,6500.0,15.845564221023542,-295.33824292895696,0.0,52.68132746653592
4.62,18615.029689850388,6500.0,16.916562313248235,-295.0231558257235,0.0,54.41817276086043
4.64,18609.13246273141,6500.0,18.022278571279827,-294.69785465546875,0.0,56.15313403065065
4.66,18603.241843682947,6500.0,19.162674713852372,-294.362350680522,0.0,57.886151209398875
4.68,18597.358036645528,6500.0,20.33771125903877,-294.0166555164464,0.0,59.61716429790398
4.7,18591.481245323837,6500.0,21.547347525618935,-293.66078113163667,0.0,61.34611336634927
4.72,18585.611673179672,6500.0,22.791541634487007,-293.29473984690475,0.0,63.07293855637663
4.74,18579.74952342489,6500.0,24.07025051010216,-292.9185443350532,0.0,64.79758008315959
4.76,18573.894999014366,6500.0,25.383429881979588,-292.53220762043657,0.0,66.51997823747249
4.78,18568.048302638996,6500.0,26.731034286223156,-292.1357430785103,0.0,68.24007338775827
4.8,18562.209636718646,6500.0,28.11301706709939,-291.7291644353679,0.0,69.9578059821925
4.82,18556.37920339516,6500.0,29.52933037865309,-291.31248576726546,0.0,71.67311655074559
4.84,18550.55720452536,6500.0,30.979925186363076,-290.8857215001346,0.0,73.38594570724119
4.86,18544.74384167406,6500.0,32.46475126884101,-290.4488864090826,0.0,75.09623415141286
4.88,18538.939316107077,6500.0,33.98375721956876,-290.0019956178815,0.0,76.80392267095642
4.9,18533.143828784276,6500.0,35.536890448679394,-289.54506459844373,0.0,78.5089521435806
4.92,18527.357580352607,6500.0,37.12409718477677,-289.0781091702873,0.0,80.21126353905338
4.94,18521.580771139154,6500.0,38.745322476798265,-288.6011454999872,0.0,81.91079792124614
4.96,18515.81360114421,6500.0,40.40051019591631,-288.1141901006165,0.0,83.60749645017371
4.98,18510.05627003434,6500.0,42.089603037482426,-287.6172598311742,0.0,85.3013003840319
5.0,18504.30897713548,6500.0,43.81254252301047,-287.1103718960016,0.0,86.99215108123072
5.0200000000000005,18498.57192142602,6500.0,45.56926900220186,-286.59354384418674,0.0,88.67999000242514
5.04,18492.845301529942,6500.0,47.359721655009984,-286.0667935689569,0.0,90.36475871254133
5.0600000000000005,18487.129315709917,6500.0,49.18383849374699,-285.5301393070589,0.0,92.04639888280016
5.08,18481.42416186045,6500.0,51.04155636522872,-284.9835996381279,0.0,93.72485229273627
5.1000000000000005,18475.730037501035,6500.0,52.932810952961795,-284.4271934840441,0.0,95.40006083221402
5.12,18470.04713976931,6500.0,54.85753677937022,-283.86094010827765,0.0,97.07196650343904
5.14,18464.37566541423,6500.0,56.81566720806211,-283.2848591152217,0.0,98.7405114229665
